DATE,TOOL,TOOL_REVERSION,TC-x,TC-y,TC-z,MS-X,MS-Y,MS-Z,OC-X,OC-Y,OC-Z,RC-X,RC-Y,RC-Z,BSC-X,BSC-Y,BSCZ,BSCS-X,BSCS-Y,BSCS-Z,TIP1-X,TIP1-Y,TIP1-Z,TIP2-X,TIP2-Y,TIP2-Z,TIP3-X,TIP3-Y,TIP3-Z,TIP4-X,TIP4-Y,TIP4-Z,STRIP1-X,STRIP1-Y,STRIP1-Z,STRIP2-X,STRIP2-Y,STRIP2-Z,STRIP3-X,STRIP3-Y,STRIP3-Z,STRIP4-X,STRIP4-Y,STRIP4-Z,OC_COVER-X,OC_COVER-Y,OC_COVER-Z,OC_COVER_STORAGE-X,OC_COVER_STORAGE-Y,OC_COVER_STORAGE-Z,RC_COVER-X,RC_COVER-Y,RC_COVER-Z,RC_COVER_STORAGE-X,RC_COVER_STORAGE-Y,RC_COVER_STORAGE-Z,P_TC-X,P_TC-Y,P_TC-Z,P_TC_PRESS-X,P_TC_PRESS-Y,P_TC_PRESS-Z,P_MS-X,P_MS-Y,P_MS-Z,P_MS_PRESS-X,P_MS_PRESS-Y,P_MS_PRESS-Z,P_OC-X,P_OC-Y,P_OC-Z,P_OC_PRESS-X,P_OC_PRESS-Y,P_OC_PRESS-Z,P_RC_PRESS-X,P_RC_PRESS-Y,P_RC_PRESS-Z,CAMERA_OFFSET-X,CAMERA_OFFSET-Y,CAMERA_OFFSET-Z,PARK-X,PARK-Y,PARK-Z,TROUGH-X,TROUGH-Y,TROUGH-Z,WASTE_BIN-X,WASTE_BIN-Y,WASTE_BIN-Z
9/26/2018 9:17:26 AM,50010-01A,0,67606,9241,71353,26213,9241,84113,26213,42413,81855,67677,45256,88849,42517,8873,112220,82868,61509,108829,60571,71755,143531,25029,71755,143531,60571,95449,145312,25029,95449,145312,75022,83403,59054,72890,83403,59054,70758,83403,59054,68625,83403,59054,1322,41865,107002,84250,5793,106236,42786,44708,104933,84250,36003,106236,42517,8873,129849,42517,8873,115220,1124,8873,143628,1124,8873,128999,1124,42044,154772,1124,42044,133607,42785,44707,108532,0,0,0,1506,71,114092,85555,63278,106754,92049,93211,0,
9/26/2018 9:37:04 AM,50010-01A,0,67606,9241,71353,26213,9241,84113,26213,42413,81855,67677,45256,88849,42518,8779,112222,82868,61772,108317,60571,71755,143531,25029,71755,143531,60571,95449,145312,25029,95449,145312,75022,83403,59054,72890,83403,59054,70758,83403,59054,68625,83403,59054,1324,42129,107001,84252,6057,105981,42788,44972,107496,84252,36267,105981,42518,8779,129851,42518,8779,115222,1125,8779,143882,1125,8779,129253,1125,41950,153750,1125,41950,132585,42786,44971,108020,0,0,0,1506,71,114092,85555,63278,106754,92049,93211,0,
9/26/2018 10:22:51 AM,50010-01A,0,67606,9241,72065,26213,9241,84407,26213,42413,91540,67677,45256,89171,42518,8779,112222,82868,61772,108317,60571,71755,143531,25029,71755,143531,60571,95449,145312,25029,95449,145312,75022,83403,58966,72890,83403,58966,70758,83403,58966,68625,83403,58966,1324,42129,107001,84252,6057,105981,42788,44972,107496,84252,36267,105981,42518,8779,129851,42518,8779,115222,1125,8779,143882,1125,8779,129253,1125,41950,153750,1125,41950,132585,42786,44971,108020,0,0,0,1506,71,114092,85555,63278,106754,92049,93211,0,
